Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LandContour,Utilities,LandSlope,Neighborhood,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,ExterCond,BsmtQual,BsmtCond,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,PavedDrive,OpenPorchSF,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
16,45,RM,51,6120,Pave,NA,Lvl,AllPub,Gtl,BrkSide,1Fam,1.5Unf,8,1929,2001,Gable,CompShg,Wd Sdng,TA,TA,TA,832,GasA,Ex,Y,FuseA,854,0,854,1,0,2,TA,5,Typ,0,NA,1991,2,576,TA,Y,112,0,NA,GdPrv,7,2007,WD,Normal,132000
17,20,RL,NA,11241,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,7,1970,1970,Gable,CompShg,Wd Sdng,TA,TA,TA,1004,GasA,Ex,Y,SBrkr,1004,0,1004,1,0,2,TA,5,Typ,1,TA,1970,2,480,TA,Y,0,0,NA,NA,3,2010,WD,Normal,149000
18,90,RL,72,10791,Pave,NA,Lvl,AllPub,Gtl,Sawyer,Duplex,1Story,5,1967,1967,Gable,CompShg,MetalSd,TA,NA,NA,0,GasA,TA,Y,SBrkr,1296,0,1296,2,0,2,TA,6,Typ,0,NA,1967,2,516,TA,Y,0,0,NA,NA,10,2006,WD,Normal,90000
19,20,RL,66,13695,Pave,NA,Lvl,AllPub,Gtl,SawyerW,1Fam,1Story,5,2004,2004,Gable,CompShg,VinylSd,TA,TA,TA,1114,GasA,Ex,Y,SBrkr,1114,0,1114,1,1,3,Gd,6,Typ,0,NA,2004,2,576,TA,Y,102,0,NA,NA,6,2008,WD,Normal,159000
20,20,RL,70,7560,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,6,1958,1965,Hip,CompShg,BrkFace,TA,TA,TA,1029,GasA,TA,Y,SBrkr,1339,0,1339,1,0,3,TA,6,Min1,0,NA,1958,1,294,TA,Y,0,0,NA,MnPrv,5,2009,COD,Abnorml,139000
21,60,RL,101,14215,Pave,NA,Lvl,AllPub,Gtl,NridgHt,1Fam,2Story,5,2005,2006,Gable,CompShg,VinylSd,TA,Ex,TA,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,3,1,4,Gd,9,Typ,1,Gd,2005,3,853,TA,Y,154,0,NA,NA,11,2006,New,Partial,325300
22,45,RM,57,7449,Pave,Grvl,Bnk,AllPub,Gtl,IDOTRR,1Fam,1.5Unf,7,1930,1950,Gable,CompShg,Wd Sdng,TA,TA,TA,637,GasA,Ex,Y,FuseF,1108,0,1108,1,0,3,Gd,6,Typ,1,Gd,1930,1,280,TA,N,0,0,NA,GdPrv,6,2007,WD,Normal,139400
23,20,RL,75,9742,Pave,NA,Lvl,AllPub,Gtl,CollgCr,1Fam,1Story,5,2002,2002,Hip,CompShg,VinylSd,TA,Gd,TA,1777,GasA,Ex,Y,SBrkr,1795,0,1795,2,0,3,Gd,7,Typ,1,Gd,2002,2,534,TA,Y,159,0,NA,NA,9,2008,WD,Normal,230000
24,120,RM,44,4224,Pave,NA,Lvl,AllPub,Gtl,MeadowV,TwnhsE,1Story,7,1976,1976,Gable,CompShg,CemntBd,TA,Gd,TA,1040,GasA,TA,Y,SBrkr,1060,0,1060,1,0,3,TA,6,Typ,1,TA,1976,2,572,TA,Y,110,0,NA,NA,6,2007,WD,Normal,129900
25,20,RL,NA,8246,Pave,NA,Lvl,AllPub,Gtl,Sawyer,1Fam,1Story,8,1968,2001,Gable,CompShg,Plywood,Gd,TA,TA,1060,GasA,Ex,Y,SBrkr,1060,0,1060,1,0,3,Gd,6,Typ,1,TA,1968,1,270,TA,Y,90,0,NA,MnPrv,5,2010,WD,Normal,154000
26,20,RL,110,14230,Pave,NA,Lvl,AllPub,Gtl,NridgHt,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,TA,Gd,TA,1566,GasA,Ex,Y,SBrkr,1600,0,1600,2,0,3,Gd,7,Typ,1,Gd,2007,3,890,TA,Y,56,0,NA,NA,7,2009,WD,Normal,256300
27,20,RL,60,7200,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,7,1951,2000,Gable,CompShg,Wd Sdng,TA,TA,TA,900,GasA,TA,Y,SBrkr,900,0,900,1,0,3,Gd,5,Typ,0,NA,2005,2,576,TA,Y,32,0,NA,NA,5,2010,WD,Normal,134800
28,20,RL,98,11478,Pave,NA,Lvl,AllPub,Gtl,NridgHt,1Fam,1Story,5,2007,2008,Gable,CompShg,VinylSd,TA,Ex,TA,1704,GasA,Ex,Y,SBrkr,1704,0,1704,2,0,3,Gd,7,Typ,1,Gd,2008,3,772,TA,Y,50,0,NA,NA,5,2010,WD,Normal,306000
29,20,RL,47,16321,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,6,1957,1997,Gable,CompShg,MetalSd,TA,TA,TA,1484,GasA,TA,Y,SBrkr,1600,0,1600,1,0,2,TA,6,Typ,2,Gd,1957,1,319,TA,Y,258,0,NA,NA,12,2006,WD,Normal,207500
30,30,RM,60,6324,Pave,NA,Lvl,AllPub,Gtl,BrkSide,1Fam,1Story,6,1927,1950,Gable,CompShg,MetalSd,TA,TA,TA,520,GasA,Fa,N,SBrkr,520,0,520,1,0,1,Fa,4,Typ,0,NA,1920,1,240,Fa,Y,0,0,NA,NA,5,2008,WD,Normal,68500
31,70,C (all),50,8500,Pave,Pave,Lvl,AllPub,Gtl,IDOTRR,1Fam,2Story,4,1920,1950,Gambrel,CompShg,BrkFace,Fa,TA,TA,649,GasA,TA,N,SBrkr,649,668,1317,1,0,3,TA,6,Typ,0,NA,1920,1,250,TA,N,54,0,NA,MnPrv,7,2008,WD,Normal,40000
32,20,RL,NA,8544,Pave,NA,Lvl,AllPub,Gtl,Sawyer,1Fam,1Story,6,1966,2006,Gable,CompShg,HdBoard,TA,TA,TA,1228,GasA,Gd,Y,SBrkr,1228,0,1228,1,1,3,Gd,6,Typ,0,NA,1966,1,271,TA,Y,65,0,NA,MnPrv,6,2008,WD,Normal,149350
33,20,RL,85,11049,Pave,NA,Lvl,AllPub,Gtl,CollgCr,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,TA,Ex,TA,1234,GasA,Ex,Y,SBrkr,1234,0,1234,2,0,3,Gd,7,Typ,0,NA,2007,2,484,TA,Y,30,0,NA,NA,1,2008,WD,Normal,179900
34,20,RL,70,10552,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,5,1959,1959,Hip,CompShg,BrkFace,TA,TA,TA,1398,GasA,Gd,Y,SBrkr,1700,0,1700,1,1,4,Gd,6,Typ,1,Gd,1959,2,447,TA,Y,38,0,NA,NA,4,2010,WD,Normal,165500
35,120,RL,60,7313,Pave,NA,Lvl,AllPub,Gtl,NridgHt,TwnhsE,1Story,5,2005,2005,Hip,CompShg,MetalSd,TA,Ex,TA,1561,GasA,Ex,Y,SBrkr,1561,0,1561,2,0,2,Ex,6,Typ,1,Gd,2005,2,556,TA,Y,47,0,NA,NA,8,2007,WD,Normal,277500
36,60,RL,108,13418,Pave,NA,Lvl,AllPub,Gtl,NridgHt,1Fam,2Story,5,2004,2005,Gable,CompShg,VinylSd,TA,Ex,TA,1117,GasA,Ex,Y,SBrkr,1132,1320,2452,3,1,4,Gd,9,Typ,1,Gd,2004,3,691,TA,Y,32,0,NA,NA,9,2006,WD,Normal,309000
37,20,RL,112,10859,Pave,NA,Lvl,AllPub,Gtl,CollgCr,1Fam,1Story,5,1994,1995,Gable,CompShg,VinylSd,TA,Gd,TA,1097,GasA,Ex,Y,SBrkr,1097,0,1097,1,1,3,TA,6,Typ,0,NA,1995,2,672,TA,Y,64,0,NA,NA,6,2009,WD,Normal,145000
38,20,RL,74,8532,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,6,1954,1990,Hip,CompShg,Wd Sdng,TA,TA,TA,1297,GasA,Gd,Y,SBrkr,1297,0,1297,1,0,3,TA,5,Typ,1,TA,1954,2,498,TA,Y,0,0,NA,NA,10,2009,WD,Normal,153000
39,20,RL,68,7922,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,7,1953,2007,Gable,CompShg,VinylSd,Gd,TA,TA,1057,GasA,TA,Y,SBrkr,1057,0,1057,1,0,3,Gd,5,Typ,0,NA,1953,1,246,TA,Y,52,0,NA,NA,1,2010,WD,Abnorml,109000
40,90,RL,65,6040,Pave,NA,Lvl,AllPub,Gtl,Edwards,Duplex,1Story,5,1955,1955,Gable,CompShg,AsbShng,TA,NA,NA,0,GasA,TA,N,FuseP,1152,0,1152,2,0,2,Fa,6,Typ,0,NA,NA,0,0,NA,N,0,0,NA,NA,6,2008,WD,AdjLand,82000
41,20,RL,84,8658,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,5,1965,1965,Gable,CompShg,Wd Sdng,TA,TA,TA,1088,GasA,Ex,Y,SBrkr,1324,0,1324,2,0,3,TA,6,Typ,1,TA,1965,2,440,TA,Y,138,0,NA,GdWo,12,2006,WD,Abnorml,160000
42,20,RL,115,16905,Pave,NA,Lvl,AllPub,Gtl,Timber,1Fam,1Story,6,1959,1959,Gable,CompShg,VinylSd,Gd,TA,TA,1350,GasA,Gd,Y,SBrkr,1328,0,1328,1,1,2,TA,5,Typ,2,Gd,1959,1,308,TA,P,104,0,NA,NA,7,2007,WD,Normal,170000
43,85,RL,NA,9180,Pave,NA,Lvl,AllPub,Gtl,SawyerW,1Fam,SFoyer,7,1983,1983,Gable,CompShg,HdBoard,TA,Gd,TA,840,GasA,Gd,Y,SBrkr,884,0,884,1,0,2,Gd,5,Typ,0,NA,1983,2,504,TA,Y,0,0,NA,MnPrv,12,2007,WD,Normal,144000
44,20,RL,NA,9200,Pave,NA,Lvl,AllPub,Gtl,CollgCr,1Fam,1Story,6,1975,1980,Hip,CompShg,VinylSd,TA,Gd,TA,938,GasA,TA,Y,SBrkr,938,0,938,1,0,3,TA,5,Typ,0,NA,1977,1,308,TA,Y,0,0,NA,MnPrv,7,2008,WD,Normal,130250
45,20,RL,70,7945,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,6,1959,1959,Gable,CompShg,BrkFace,TA,TA,TA,1150,GasA,Ex,Y,FuseA,1150,0,1150,1,0,3,TA,6,Typ,0,NA,1959,1,300,TA,Y,0,0,NA,NA,5,2006,WD,Normal,141000
46,120,RL,61,7658,Pave,NA,Lvl,AllPub,Gtl,NridgHt,TwnhsE,1Story,5,2005,2005,Hip,CompShg,MetalSd,TA,Ex,TA,1752,GasA,Ex,Y,SBrkr,1752,0,1752,2,0,2,Ex,6,Typ,1,Gd,2005,2,576,TA,Y,82,0,NA,NA,2,2010,WD,Normal,319900
47,50,RL,48,12822,Pave,NA,Lvl,AllPub,Gtl,Mitchel,1Fam,1.5Fin,5,2003,2003,Gable,CompShg,VinylSd,TA,Ex,TA,1434,GasA,Ex,Y,SBrkr,1518,631,2149,1,1,1,Gd,6,Typ,1,Ex,2003,2,670,TA,Y,43,0,NA,NA,8,2009,WD,Abnorml,239686
48,20,FV,84,11096,Pave,NA,Lvl,AllPub,Gtl,Somerst,1Fam,1Story,5,2006,2006,Gable,CompShg,VinylSd,TA,Gd,TA,1656,GasA,Ex,Y,SBrkr,1656,0,1656,2,0,3,Gd,7,Typ,0,NA,2006,3,826,TA,Y,146,0,NA,NA,7,2007,WD,Normal,249700
49,190,RM,33,4456,Pave,NA,Lvl,AllPub,Gtl,OldTown,2fmCon,2Story,5,1920,2008,Gable,CompShg,MetalSd,TA,TA,TA,736,GasA,Gd,Y,SBrkr,736,716,1452,2,0,2,TA,8,Typ,0,NA,NA,0,0,NA,N,0,0,NA,NA,6,2009,New,Partial,113000
50,20,RL,66,7742,Pave,NA,Lvl,AllPub,Gtl,Sawyer,1Fam,1Story,7,1966,1966,Gable,CompShg,HdBoard,TA,TA,TA,955,GasA,Ex,Y,SBrkr,955,0,955,1,0,3,TA,6,Typ,0,NA,1966,1,386,TA,Y,0,0,NA,MnPrv,1,2007,WD,Normal,127000
51,60,RL,NA,13869,Pave,NA,Lvl,AllPub,Gtl,Gilbert,1Fam,2Story,6,1997,1997,Gable,CompShg,VinylSd,TA,Gd,TA,794,GasA,Gd,Y,SBrkr,794,676,1470,2,0,3,TA,6,Typ,0,NA,1997,2,388,TA,Y,75,0,NA,NA,7,2007,WD,Normal,177000
52,50,RM,52,6240,Pave,NA,Lvl,AllPub,Gtl,BrkSide,1Fam,1.5Fin,6,1934,1950,Gable,CompShg,Wd Sdng,TA,TA,TA,816,GasA,TA,Y,SBrkr,816,0,1176,1,0,3,TA,6,Typ,1,Gd,1985,2,528,TA,Y,0,0,NA,MnPrv,9,2006,WD,Normal,114500
53,90,RM,110,8472,Grvl,NA,Bnk,AllPub,Mod,IDOTRR,Duplex,1Story,5,1963,1963,Gable,CompShg,Wd Sdng,TA,Gd,TA,816,GasA,TA,N,SBrkr,816,0,816,1,0,2,TA,5,Typ,0,NA,1963,2,516,TA,Y,0,0,NA,NA,5,2010,WD,Normal,110000
54,20,RL,68,50271,Pave,NA,Low,AllPub,Gtl,Veenker,1Fam,1Story,5,1981,1987,Gable,WdShngl,WdShing,TA,Ex,TA,1842,GasA,Gd,Y,SBrkr,1842,0,1842,0,1,0,Gd,5,Typ,1,Gd,1981,3,894,TA,Y,72,0,NA,NA,11,2006,WD,Normal,385000
55,80,RL,60,7134,Pave,NA,Bnk,AllPub,Mod,"NAmes",1Fam,SLvl,5,1955,1955,Gable,CompShg,MetalSd,TA,TA,TA,384,GasA,TA,Y,SBrkr,1360,0,1360,1,0,3,TA,6,Min1,1,TA,1962,2,572,TA,Y,50,0,NA,MnPrv,2,2007,WD,Normal,130000
56,20,RL,100,10175,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,5,1964,1964,Gable,CompShg,HdBoard,TA,TA,TA,1425,GasA,Gd,Y,SBrkr,1425,0,1425,2,0,3,TA,7,Typ,1,Gd,1964,2,576,TA,Y,0,0,NA,NA,7,2008,WD,Normal,180500
57,160,FV,24,2645,Pave,Pave,Lvl,AllPub,Gtl,Somerst,Twnhs,2Story,5,1999,2000,Gable,CompShg,MetalSd,TA,Gd,TA,970,GasA,Ex,Y,SBrkr,983,756,1739,2,1,3,Gd,7,Typ,0,NA,1999,2,480,TA,Y,0,0,NA,NA,8,2009,WD,Abnorml,172500
58,60,RL,89,11645,Pave,NA,Lvl,AllPub,Gtl,CollgCr,1Fam,2Story,5,2004,2004,Gable,CompShg,VinylSd,TA,Gd,TA,860,GasA,Ex,Y,SBrkr,860,860,1720,2,1,3,Gd,7,Typ,0,NA,2004,2,565,TA,Y,70,0,NA,NA,8,2006,WD,Normal,196500
59,60,RL,66,13682,Pave,NA,HLS,AllPub,Gtl,StoneBr,1Fam,2Story,5,2006,2006,Hip,CompShg,VinylSd,TA,Ex,TA,1410,GasA,Ex,Y,SBrkr,1426,1519,2945,3,1,3,Gd,10,Typ,1,Gd,2006,3,641,TA,Y,0,0,NA,NA,10,2006,New,Partial,438780
60,20,RL,60,7200,Pave,NA,Bnk,AllPub,Gtl,CollgCr,1Fam,1Story,7,1972,1972,Gable,CompShg,HdBoard,TA,TA,TA,780,GasA,Ex,Y,SBrkr,780,0,780,1,0,2,TA,4,Typ,0,NA,1973,1,352,TA,Y,0,0,NA,MnPrv,1,2008,WD,Normal,124900
61,20,RL,63,13072,Pave,NA,Lvl,AllPub,Gtl,SawyerW,1Fam,1Story,5,2004,2004,Gable,CompShg,VinylSd,TA,Gd,TA,1158,GasA,Ex,Y,SBrkr,1158,0,1158,1,1,3,Gd,5,Typ,0,NA,2006,2,576,TA,Y,50,0,NA,NA,5,2006,New,Partial,158000
62,75,RM,60,7200,Pave,NA,Lvl,AllPub,Gtl,IDOTRR,1Fam,2.5Unf,7,1920,1996,Gable,CompShg,MetalSd,TA,TA,Fa,530,GasA,TA,N,SBrkr,581,530,1111,1,0,3,Fa,6,Typ,0,NA,1935,1,288,TA,N,0,0,NA,NA,3,2007,WD,Normal,101000
63,120,RL,44,6442,Pave,NA,Lvl,AllPub,Gtl,NridgHt,TwnhsE,1Story,5,2006,2006,Gable,CompShg,VinylSd,TA,Gd,Gd,1370,GasA,Ex,Y,SBrkr,1370,0,1370,2,0,2,Gd,6,Typ,1,Gd,2006,2,484,TA,Y,49,0,NA,NA,10,2007,WD,Normal,202500
64,70,RM,50,10300,Pave,NA,Bnk,AllPub,Gtl,OldTown,1Fam,2Story,6,1921,1950,Gable,CompShg,Stucco,TA,TA,TA,576,GasA,Gd,Y,SBrkr,902,808,1710,2,0,3,TA,9,Typ,0,NA,1990,2,480,TA,Y,11,0,NA,GdPrv,4,2010,WD,Normal,140000
65,60,RL,NA,9375,Pave,NA,Lvl,AllPub,Gtl,CollgCr,1Fam,2Story,5,1997,1998,Gable,CompShg,VinylSd,TA,Gd,TA,1057,GasA,Ex,Y,SBrkr,1057,977,2034,2,1,3,Gd,8,Typ,0,NA,1998,2,645,TA,Y,36,0,NA,GdPrv,2,2009,WD,Normal,219500
66,60,RL,76,9591,Pave,NA,Lvl,AllPub,Gtl,NridgHt,1Fam,2Story,5,2004,2005,Gable,CompShg,VinylSd,TA,Ex,TA,1143,GasA,Ex,Y,SBrkr,1143,1330,2473,2,1,4,Gd,9,Typ,1,Gd,2004,3,852,TA,Y,151,0,NA,NA,10,2007,WD,Normal,317000
67,20,RL,NA,19900,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,5,1970,1989,Gable,CompShg,Plywood,TA,Gd,TA,1947,GasA,TA,Y,SBrkr,2207,0,2207,2,0,3,TA,7,Min1,1,Gd,1970,2,576,TA,Y,0,0,NA,NA,7,2010,WD,Normal,180000
68,20,RL,72,10665,Pave,NA,Lvl,AllPub,Gtl,CollgCr,1Fam,1Story,5,2003,2003,Gable,CompShg,VinylSd,TA,Gd,TA,1453,GasA,Ex,Y,SBrkr,1479,0,1479,2,0,3,Gd,7,Typ,0,NA,2003,2,558,TA,Y,29,0,NA,NA,6,2007,WD,Normal,226000
69,30,RM,47,4608,Pave,NA,Lvl,AllPub,Gtl,OldTown,1Fam,1Story,6,1945,1950,Gable,CompShg,MetalSd,Gd,TA,TA,747,GasA,TA,Y,SBrkr,747,0,747,1,0,2,TA,4,Typ,0,NA,1945,1,220,TA,Y,0,0,NA,NA,6,2010,WD,Normal,80000
70,50,RL,81,15593,Pave,NA,Lvl,AllPub,Gtl,ClearCr,1Fam,1.5Fin,4,1953,1953,Gable,CompShg,BrkFace,TA,TA,TA,1304,GasW,TA,Y,SBrkr,1304,983,2287,2,0,3,TA,7,Typ,1,TA,1953,2,667,TA,Y,21,0,NA,NA,7,2006,WD,Normal,225000
71,20,RL,95,13651,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,6,1973,1973,Gable,CompShg,Plywood,Gd,Gd,TA,2223,GasA,Ex,Y,SBrkr,2223,0,2223,2,0,3,TA,8,Typ,2,Gd,1973,2,516,TA,Y,0,0,NA,NA,2,2007,WD,Normal,244000
72,20,RL,69,7599,Pave,NA,Lvl,AllPub,Gtl,Mitchel,1Fam,1Story,6,1982,2006,Gable,CompShg,HdBoard,TA,TA,TA,845,GasA,TA,Y,SBrkr,845,0,845,1,0,2,TA,4,Typ,0,NA,1987,2,360,TA,Y,0,0,NA,NA,6,2007,WD,Normal,129500
73,60,RL,74,10141,Pave,NA,Lvl,AllPub,Gtl,Gilbert,1Fam,2Story,5,1998,1998,Gable,CompShg,VinylSd,TA,Gd,TA,832,GasA,Gd,Y,SBrkr,885,833,1718,2,1,3,TA,7,Typ,1,TA,1998,2,427,TA,Y,94,0,NA,NA,12,2009,WD,Normal,185000
74,20,RL,85,10200,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,7,1954,2003,Gable,CompShg,Wd Sdng,TA,TA,TA,1086,GasA,Gd,Y,SBrkr,1086,0,1086,1,0,3,TA,6,Typ,0,NA,1989,2,490,TA,Y,0,0,NA,GdWo,5,2010,WD,Normal,144900
75,50,RM,60,5790,Pave,NA,Lvl,AllPub,Gtl,OldTown,1Fam,2Story,6,1915,1950,Gambrel,CompShg,VinylSd,Gd,Fa,TA,840,GasA,Gd,N,SBrkr,840,765,1605,2,0,3,TA,8,Typ,0,NA,1915,1,379,TA,Y,0,0,NA,NA,5,2010,WD,Normal,107400
76,180,RM,21,1596,Pave,NA,Lvl,AllPub,Gtl,MeadowV,Twnhs,SLvl,5,1973,1973,Gable,CompShg,CemntBd,TA,Gd,TA,462,GasA,TA,Y,SBrkr,526,462,988,1,0,2,TA,5,Typ,0,NA,1973,1,297,TA,Y,101,0,NA,GdWo,11,2009,WD,Normal,91000
77,20,RL,NA,8475,Pave,NA,Lvl,AllPub,Gtl,"NAmes",1Fam,1Story,7,1956,1956,Gable,CompShg,VinylSd,TA,TA,TA,952,GasA,Ex,Y,FuseA,952,0,952,1,0,2,TA,4,Typ,0,NA,1956,1,283,TA,Y,0,0,NA,NA,4,2008,WD,Normal,135750
78,50,RM,50,8635,Pave,NA,Lvl,AllPub,Gtl,BrkSide,1Fam,1.5Fin,5,1948,2001,Gable,CompShg,Wd Sdng,TA,TA,TA,672,GasA,TA,Y,SBrkr,1072,213,1285,1,0,2,TA,6,Min1,0,NA,1948,1,240,TA,Y,0,0,NA,MnPrv,1,2008,WD,Normal,127000
